datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2021/01/01 17:00:00,AQUA_M-T,Brasil,PARA,SANTA MARIA DAS BARREIRAS,Amazonia,,,,-8.577,-49.952,8.8
2021/01/01 17:05:00,AQUA_M-T,Brasil,PARA,AVEIRO,Amazonia,,,,-3.909,-56.037,18.9
2021/01/01 17:05:00,AQUA_M-T,Brasil,PARA,AVEIRO,Amazonia,,,,-3.904,-56.045,9.5
2021/01/01 17:05:00,AQUA_M-T,Brasil,PARA,JACAREACANGA,Amazonia,,,,-5.845,-57.716,149.8
2021/01/01 17:05:00,AQUA_M-T,Brasil,PARA,ORIXIMINA,Amazonia,,,,-1.587,-55.922,11.3
2021/01/01 17:05:00,AQUA_M-T,Brasil,PARA,JACAREACANGA,Amazonia,,,,-6.02,-57.755,13.7
2021/01/01 17:05:00,AQUA_M-T,Brasil,PARA,MARABA,Amazonia,,,,-5.639,-50.314,10.7
2021/01/01 17:05:00,AQUA_M-T,Brasil,PARA,JACAREACANGA,Amazonia,,,,-6.033,-57.754,84.1
2021/01/01 17:05:00,AQUA_M-T,Brasil,PARA,RUROPOLIS,Amazonia,,,,-4.185,-54.873,6.8
2021/01/01 17:05:00,AQUA_M-T,Brasil,PARA,ITAITUBA,Amazonia,,,,-3.902,-56.032,13.1
2021/01/03 16:50:00,AQUA_M-T,Brasil,PARA,ULIANOPOLIS,Amazonia,,,,-3.955,-47.209,47.8
2021/01/03 16:50:00,AQUA_M-T,Brasil,PARA,ULIANOPOLIS,Amazonia,,,,-3.954,-47.199,17.7
2021/01/03 16:50:00,AQUA_M-T,Brasil,PARA,ALMEIRIM,Amazonia,,,,-1.646,-53.064,22.6
2021/01/04 17:35:00,AQUA_M-T,Brasil,PARA,ORIXIMINA,Amazonia,1,2.5,0.5,2.066,-55.929,12.6
2021/01/05 16:40:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,0,15.6,0,-3.039,-49.437,13.9
2021/01/05 16:40:00,AQUA_M-T,Brasil,PARA,CAPITAO POCO,Amazonia,2,0.7,0,-1.931,-47.215,9.2
2021/01/05 16:40:00,AQUA_M-T,Brasil,PARA,BRAGANCA,Amazonia,7,0,0.7,-1.014,-46.658,18.9
2021/01/05 16:40:00,AQUA_M-T,Brasil,PARA,BRAGANCA,Amazonia,7,0,0.7,-1.015,-46.667,9.3
2021/01/05 16:40:00,AQUA_M-T,Brasil,PARA,NOVA TIMBOTEUA,Amazonia,3,0,0.1,-1.236,-47.373,16
2021/01/05 16:40:00,AQUA_M-T,Brasil,PARA,CURUCA,Amazonia,3,0,0.3,-0.791,-47.801,8.6
2021/01/05 16:40:00,AQUA_M-T,Brasil,PARA,IPIXUNA DO PARA,Amazonia,3,3.7,0,-2.495,-47.813,8.3
2021/01/05 16:40:00,AQUA_M-T,Brasil,PARA,GARRAFAO DO NORTE,Amazonia,0,2.2,0,-2.224,-47.071,8.9
2021/01/05 16:40:00,AQUA_M-T,Brasil,PARA,NOVA TIMBOTEUA,Amazonia,3,0,0.2,-1.235,-47.364,13.5
2021/01/05 16:40:00,AQUA_M-T,Brasil,PARA,GARRAFAO DO NORTE,Amazonia,1,0.5,0.8,-2.465,-47.145,29.2
2021/01/06 17:20:00,AQUA_M-T,Brasil,PARA,BANNACH,Amazonia,0,0,0.4,-7.704,-50.657,47.2
2021/01/06 17:20:00,AQUA_M-T,Brasil,PARA,BANNACH,Amazonia,0,0,0.4,-7.702,-50.667,44.6
2021/01/06 17:20:00,AQUA_M-T,Brasil,PARA,ITAITUBA,Amazonia,3,0,0,-6.367,-55.791,5.6
2021/01/06 17:25:00,AQUA_M-T,Brasil,PARA,OBIDOS,Amazonia,0,0,0,-1.831,-55.287,48.2
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,2,0,0.4,-3.624,-48.057,14.4
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,2,0,0.4,-3.711,-47.875,19.9
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,RIO MARIA,Amazonia,2,0.1,0.1,-7.116,-49.218,31.1
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,2,0,0.2,-3.275,-49.293,208
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,DOM ELISEU,Amazonia,0,0,0.1,-4.43,-47.773,14.6
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,0,2.2,0.5,-3.182,-46.954,12.9
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,ULIANOPOLIS,Amazonia,2,0,0.6,-3.87,-47.124,16.1
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,2,0,0.4,-3.688,-48.205,18.4
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,ULIANOPOLIS,Amazonia,2,0,0.8,-3.922,-47.237,14.5
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,ULIANOPOLIS,Amazonia,2,0.1,0.1,-3.735,-47.38,15.1
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,DOM ELISEU,Amazonia,2,0,0.5,-4.126,-48.146,20.8
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,2,0,0.6,-3.714,-47.881,19
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,CACHOEIRA DO PIRIA,Amazonia,6,0.8,0.2,-1.914,-46.288,14.7
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,BREU BRANCO,Amazonia,2,0,0,-3.526,-49.118,17.7
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,0,3.5,0.3,-3.155,-47.077,12.7
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,DOM ELISEU,Amazonia,2,0,0.5,-4.191,-47.446,15.4
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,DOM ELISEU,Amazonia,0,0.1,0,-4.421,-47.781,14.6
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,2,0,0.3,-3.277,-49.307,144.1
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,2,0,0.3,-3.278,-49.312,75
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,1,0.8,0.6,-3.544,-47.651,21.7
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,PALESTINA DO PARA,Amazonia,2,0.1,0.2,-5.698,-48.279,11
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,GOIANESIA DO PARA,Amazonia,0,7.8,0,-4.15,-48.913,28.5
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,2,0,0.1,-3.274,-49.288,126.5
2021/01/07 16:25:00,AQUA_M-T,Brasil,PARA,ULIANOPOLIS,Amazonia,2,0,0.8,-3.694,-47.822,18.4
2021/01/07 16:30:00,AQUA_M-T,Brasil,PARA,AUGUSTO CORREA,Amazonia,16,0,0.7,-1.099,-46.38,7.6
2021/01/07 16:30:00,AQUA_M-T,Brasil,PARA,CURUCA,Amazonia,5,2.2,0.2,-0.79,-47.793,9
2021/01/07 16:30:00,AQUA_M-T,Brasil,PARA,SAO MIGUEL DO GUAMA,Amazonia,0,1.4,0,-1.487,-47.791,5.1
2021/01/07 16:30:00,AQUA_M-T,Brasil,PARA,AUGUSTO CORREA,Amazonia,15,0,0.7,-1.101,-46.391,10
2021/01/07 16:30:00,AQUA_M-T,Brasil,PARA,MONTE ALEGRE,Amazonia,2,0.2,0.6,-1.347,-54.081,51.5
2021/01/07 16:30:00,AQUA_M-T,Brasil,PARA,MAGALHAES BARATA,Amazonia,5,0.3,0.4,-0.755,-47.655,15.3
2021/01/07 16:30:00,AQUA_M-T,Brasil,PARA,MONTE ALEGRE,Amazonia,2,0.1,0.8,-1.346,-54.073,48.1
2021/01/08 17:10:00,AQUA_M-T,Brasil,PARA,SANTANA DO ARAGUAIA,Amazonia,1,0.5,0.6,-9.123,-50.086,18.5
2021/01/08 17:10:00,AQUA_M-T,Brasil,PARA,ALTAMIRA,Amazonia,0,23.7,0,-8.045,-54.81,11.9
2021/01/08 17:10:00,AQUA_M-T,Brasil,PARA,ALTAMIRA,Amazonia,2,20.9,0,-8.339,-55.008,15.7
2021/01/08 17:10:00,AQUA_M-T,Brasil,PARA,ALTAMIRA,Amazonia,2,20.6,0,-8.34,-55.018,58.4
